timestamp,ride_id,time_of_day,day_type,people_in_queue,capacity_per_cycle,cycle_time,popularity,actual_wait_time
2026-04-01 10:00:00,AQ01,morning,weekday,33,11,4.97,1.14,17.24
2026-04-01 10:00:00,AQ02,morning,weekday,26,18,4.95,0.74,5.79
2026-04-01 10:00:00,AQ03,morning,weekday,51,44,2.35,1.18,0.78
2026-04-01 10:00:00,AQ04,morning,weekday,29,11,2.37,0.92,6.17
2026-04-01 10:00:00,AQ05,morning,weekday,14,48,2.11,0.73,2.94
2026-04-01 10:00:00,AQ06,morning,weekday,6,44,3.68,0.7,0.0
2026-04-01 10:00:00,AQ07,morning,weekday,36,27,5.24,0.95,8.44
2026-04-01 10:00:00,AQ08,morning,weekday,19,20,4.79,0.51,4.93
2026-04-01 10:00:00,AQ09,morning,weekday,20,19,2.86,0.84,4.74
2026-04-01 10:00:00,AQ10,morning,weekday,51,16,2.37,1.26,6.38
2026-04-01 10:00:00,AQ11,morning,weekday,15,32,4.41,0.6,1.26
2026-04-01 10:00:00,AQ12,morning,weekday,41,39,4.14,1.31,3.56
2026-04-01 10:00:00,AQ13,morning,weekday,47,34,2.32,1.47,3.95
2026-04-01 10:00:00,AQ14,morning,weekday,22,50,4.47,0.79,1.41
2026-04-01 10:00:00,AQ15,morning,weekday,46,46,2.77,1.36,4.83
2026-04-01 10:15:00,AQ01,morning,weekday,48,11,4.97,1.14,21.42
2026-04-01 10:15:00,AQ02,morning,weekday,12,18,4.95,0.74,4.6
2026-04-01 10:15:00,AQ03,morning,weekday,43,44,2.35,1.18,5.04
2026-04-01 10:15:00,AQ04,morning,weekday,31,11,2.37,0.92,7.71
2026-04-01 10:15:00,AQ05,morning,weekday,25,48,2.11,0.73,0.31
2026-04-01 10:15:00,AQ06,morning,weekday,31,44,3.68,0.7,4.75
2026-04-01 10:15:00,AQ07,morning,weekday,31,27,5.24,0.95,4.08
2026-04-01 10:15:00,AQ08,morning,weekday,21,20,4.79,0.51,4.31
2026-04-01 10:15:00,AQ09,morning,weekday,34,19,2.86,0.84,5.06
2026-04-01 10:15:00,AQ10,morning,weekday,35,16,2.37,1.26,4.16
2026-04-01 10:15:00,AQ11,morning,weekday,22,32,4.41,0.6,4.05
2026-04-01 10:15:00,AQ12,morning,weekday,39,39,4.14,1.31,4.93
2026-04-01 10:15:00,AQ13,morning,weekday,46,34,2.32,1.47,3.17
2026-04-01 10:15:00,AQ14,morning,weekday,22,50,4.47,0.79,1.44
2026-04-01 10:15:00,AQ15,morning,weekday,48,46,2.77,1.36,3.06
2026-04-01 10:30:00,AQ01,morning,weekday,37,11,4.97,1.14,16.17
2026-04-01 10:30:00,AQ02,morning,weekday,28,18,4.95,0.74,6.81
2026-04-01 10:30:00,AQ03,morning,weekday,38,44,2.35,1.18,1.79
2026-04-01 10:30:00,AQ04,morning,weekday,13,11,2.37,0.92,3.81
2026-04-01 10:30:00,AQ05,morning,weekday,24,48,2.11,0.73,2.3
2026-04-01 10:30:00,AQ06,morning,weekday,23,44,3.68,0.7,1.41
2026-04-01 10:30:00,AQ07,morning,weekday,33,27,5.24,0.95,9.14
2026-04-01 10:30:00,AQ08,morning,weekday,10,20,4.79,0.51,1.7
2026-04-01 10:30:00,AQ09,morning,weekday,15,19,2.86,0.84,3.82
2026-04-01 10:30:00,AQ10,morning,weekday,47,16,2.37,1.26,5.37
2026-04-01 10:30:00,AQ11,morning,weekday,16,32,4.41,0.6,3.53
2026-04-01 10:30:00,AQ12,morning,weekday,44,39,4.14,1.31,4.97
2026-04-01 10:30:00,AQ13,morning,weekday,44,34,2.32,1.47,3.85
2026-04-01 10:30:00,AQ14,morning,weekday,25,50,4.47,0.79,1.16
2026-04-01 10:30:00,AQ15,morning,weekday,39,46,2.77,1.36,2.52
2026-04-01 10:45:00,AQ01,morning,weekday,27,11,4.97,1.14,14.03
2026-04-01 10:45:00,AQ02,morning,weekday,28,18,4.95,0.74,9.54
2026-04-01 10:45:00,AQ03,morning,weekday,32,44,2.35,1.18,0.9
2026-04-01 10:45:00,AQ04,morning,weekday,31,11,2.37,0.92,6.44
2026-04-01 10:45:00,AQ05,morning,weekday,27,48,2.11,0.73,0.0
2026-04-01 10:45:00,AQ06,morning,weekday,17,44,3.68,0.7,0.0
2026-04-01 10:45:00,AQ07,morning,weekday,18,27,5.24,0.95,2.13
2026-04-01 10:45:00,AQ08,morning,weekday,41,20,4.79,0.51,9.29
2026-04-01 10:45:00,AQ09,morning,weekday,22,19,2.86,0.84,5.11
2026-04-01 10:45:00,AQ10,morning,weekday,47,16,2.37,1.26,7.51
2026-04-01 10:45:00,AQ11,morning,weekday,39,32,4.41,0.6,7.34
2026-04-01 10:45:00,AQ12,morning,weekday,50,39,4.14,1.31,7.08
2026-04-01 10:45:00,AQ13,morning,weekday,44,34,2.32,1.47,3.94
2026-04-01 10:45:00,AQ14,morning,weekday,25,50,4.47,0.79,2.73
2026-04-01 10:45:00,AQ15,morning,weekday,35,46,2.77,1.36,4.76
2026-04-01 11:00:00,AQ01,morning,weekday,45,11,4.97,1.14,21.18
2026-04-01 11:00:00,AQ02,morning,weekday,29,18,4.95,0.74,8.39
2026-04-01 11:00:00,AQ03,morning,weekday,33,44,2.35,1.18,4.11
2026-04-01 11:00:00,AQ04,morning,weekday,19,11,2.37,0.92,2.45
2026-04-01 11:00:00,AQ05,morning,weekday,10,48,2.11,0.73,1.72
2026-04-01 11:00:00,AQ06,morning,weekday,32,44,3.68,0.7,1.24
2026-04-01 11:00:00,AQ07,morning,weekday,32,27,5.24,0.95,8.31
2026-04-01 11:00:00,AQ08,morning,weekday,18,20,4.79,0.51,6.27
2026-04-01 11:00:00,AQ09,morning,weekday,19,19,2.86,0.84,3.38
2026-04-01 11:00:00,AQ10,morning,weekday,26,16,2.37,1.26,5.16
2026-04-01 11:00:00,AQ11,morning,weekday,29,32,4.41,0.6,5.86
2026-04-01 11:00:00,AQ12,morning,weekday,42,39,4.14,1.31,4.87
2026-04-01 11:00:00,AQ13,morning,weekday,56,34,2.32,1.47,6.35
2026-04-01 11:00:00,AQ14,morning,weekday,21,50,4.47,0.79,2.06
2026-04-01 11:00:00,AQ15,morning,weekday,41,46,2.77,1.36,4.93
2026-04-01 11:15:00,AQ01,morning,weekday,44,11,4.97,1.14,20.79
2026-04-01 11:15:00,AQ02,morning,weekday,31,18,4.95,0.74,8.66
2026-04-01 11:15:00,AQ03,morning,weekday,46,44,2.35,1.18,0.48
2026-04-01 11:15:00,AQ04,morning,weekday,26,11,2.37,0.92,5.08
2026-04-01 11:15:00,AQ05,morning,weekday,30,48,2.11,0.73,3.66
2026-04-01 11:15:00,AQ06,morning,weekday,33,44,3.68,0.7,2.9
2026-04-01 11:15:00,AQ07,morning,weekday,29,27,5.24,0.95,5.74
2026-04-01 11:15:00,AQ08,morning,weekday,11,20,4.79,0.51,3.08
2026-04-01 11:15:00,AQ09,morning,weekday,40,19,2.86,0.84,5.45
2026-04-01 11:15:00,AQ10,morning,weekday,34,16,2.37,1.26,5.49
2026-04-01 11:15:00,AQ11,morning,weekday,25,32,4.41,0.6,3.32
2026-04-01 11:15:00,AQ12,morning,weekday,41,39,4.14,1.31,6.9
2026-04-01 11:15:00,AQ13,morning,weekday,29,34,2.32,1.47,2.8
2026-04-01 11:15:00,AQ14,morning,weekday,37,50,4.47,0.79,5.48
2026-04-01 11:15:00,AQ15,morning,weekday,16,46,2.77,1.36,2.4
2026-04-01 11:30:00,AQ01,morning,weekday,17,11,4.97,1.14,6.74
2026-04-01 11:30:00,AQ02,morning,weekday,29,18,4.95,0.74,10.31
2026-04-01 11:30:00,AQ03,morning,weekday,43,44,2.35,1.18,0.73
2026-04-01 11:30:00,AQ04,morning,weekday,23,11,2.37,0.92,5.2
2026-04-01 11:30:00,AQ05,morning,weekday,25,48,2.11,0.73,0.29
2026-04-01 11:30:00,AQ06,morning,weekday,0,44,3.68,0.7,0.69
2026-04-01 11:30:00,AQ07,morning,weekday,37,27,5.24,0.95,6.68
2026-04-01 11:30:00,AQ08,morning,weekday,19,20,4.79,0.51,6.16
2026-04-01 11:30:00,AQ09,morning,weekday,26,19,2.86,0.84,6.6
2026-04-01 11:30:00,AQ10,morning,weekday,41,16,2.37,1.26,7.62
2026-04-01 11:30:00,AQ11,morning,weekday,24,32,4.41,0.6,3.08
2026-04-01 11:30:00,AQ12,morning,weekday,42,39,4.14,1.31,5.46
2026-04-01 11:30:00,AQ13,morning,weekday,28,34,2.32,1.47,4.35
2026-04-01 11:30:00,AQ14,morning,weekday,47,50,4.47,0.79,3.55
2026-04-01 11:30:00,AQ15,morning,weekday,56,46,2.77,1.36,1.96
2026-04-01 11:45:00,AQ01,morning,weekday,24,11,4.97,1.14,9.5
2026-04-01 11:45:00,AQ02,morning,weekday,20,18,4.95,0.74,5.97
2026-04-01 11:45:00,AQ03,morning,weekday,35,44,2.35,1.18,3.53
2026-04-01 11:45:00,AQ04,morning,weekday,40,11,2.37,0.92,9.9
2026-04-01 11:45:00,AQ05,morning,weekday,2,48,2.11,0.73,0.36
2026-04-01 11:45:00,AQ06,morning,weekday,17,44,3.68,0.7,3.07
2026-04-01 11:45:00,AQ07,morning,weekday,13,27,5.24,0.95,3.69
2026-04-01 11:45:00,AQ08,morning,weekday,13,20,4.79,0.51,4.25
2026-04-01 11:45:00,AQ09,morning,weekday,22,19,2.86,0.84,2.32
2026-04-01 11:45:00,AQ10,morning,weekday,41,16,2.37,1.26,5.64
2026-04-01 11:45:00,AQ11,morning,weekday,13,32,4.41,0.6,1.51
2026-04-01 11:45:00,AQ12,morning,weekday,34,39,4.14,1.31,5.65
2026-04-01 11:45:00,AQ13,morning,weekday,53,34,2.32,1.47,5.49
2026-04-01 11:45:00,AQ14,morning,weekday,30,50,4.47,0.79,1.95
2026-04-01 11:45:00,AQ15,morning,weekday,49,46,2.77,1.36,1.23
2026-04-01 12:00:00,AQ01,afternoon,weekday,108,11,4.97,1.14,50.64
2026-04-01 12:00:00,AQ02,afternoon,weekday,65,18,4.95,0.74,17.92
2026-04-01 12:00:00,AQ03,afternoon,weekday,112,44,2.35,1.18,5.08
2026-04-01 12:00:00,AQ04,afternoon,weekday,93,11,2.37,0.92,18.62
2026-04-01 12:00:00,AQ05,afternoon,weekday,48,48,2.11,0.73,0.17
2026-04-01 12:00:00,AQ06,afternoon,weekday,71,44,3.68,0.7,6.08
2026-04-01 12:00:00,AQ07,afternoon,weekday,94,27,5.24,0.95,17.94
2026-04-01 12:00:00,AQ08,afternoon,weekday,50,20,4.79,0.51,13.46
2026-04-01 12:00:00,AQ09,afternoon,weekday,79,19,2.86,0.84,14.77
2026-04-01 12:00:00,AQ10,afternoon,weekday,95,16,2.37,1.26,13.11
2026-04-01 12:00:00,AQ11,afternoon,weekday,53,32,4.41,0.6,6.52
2026-04-01 12:00:00,AQ12,afternoon,weekday,144,39,4.14,1.31,14.97
2026-04-01 12:00:00,AQ13,afternoon,weekday,141,34,2.32,1.47,9.95
2026-04-01 12:00:00,AQ14,afternoon,weekday,73,50,4.47,0.79,8.01
